creative,ad_tone
HOUSE/CA23 MANGONE AN HONEST PERSON SP,Support
HOUSE/CA23 MANGONE I UNDERSTAND,Contrast
HOUSE/CA23 MANGONE MY FATHERS FOOTSTEPS,Support
HOUSE/CA23 MCCARTHY CHRIS MCENULTY,Support
HOUSE/CA23 MCCARTHY FIGHTING FOR US,Support
HOUSE/CA23 MCCARTHY FRANCES CUETO,Support
HOUSE/CA23 MCCARTHY KNOW WHAT ITS LIKE,Support
HOUSE/CA24 CALDWELL AMERICA IN JEOPARDY DEFUND,Support
HOUSE/CA24 CALDWELL BLOW DRY,Attack
HOUSE/CA24 CALDWELL LINDA,Support
HOUSE/CA24 CALDWELL NO POLITICIAN,Support
HOUSE/CA24 CALDWELL PAC MAN,Support
HOUSE/CA24 CALDWELL SILLY WALK,Support
HOUSE/CA24 CALDWELL SINGLE PARENT,Support
HOUSE/CA24 CALDWELL THE REAL ISSUES,Support
HOUSE/CA24 CARBAJAL STRAWBERRY FIELDS TO CONGRESS,Support
HOUSE/CA25 GARCIA CAREER POLITICIAN,Support
HOUSE/CA25 GARCIA FIRST GENERATION,Support
HOUSE/CA25 SMITH POLITICAL GAMES,Support
HOUSE/CA25 SMITH&DCCC MY MOM,Support
HOUSE/CA25 SMITH&DCCC WASHINGTON REPUBLICANS,Support
HOUSE/CA28 EARLY DEFUNDING THE POLICE,Contrast
HOUSE/CA28 EARLY DESTROY AMERICA,Contrast
HOUSE/CA28 EARLY FOLLOWED MY DREAM,Support
HOUSE/CA28 EARLY PEOPLE FOLLOWED THEIR DREAMS,Support
HOUSE/CA28 EARLY THIS IS HIS DISTRICT,Contrast
HOUSE/CA39 KIM BOMBSHELL EXPOSE,Contrast
HOUSE/CA43 COLLINS MANSION,Contrast
HOUSE/CA43 WATERS FIGHTING FOR JUSTICE SP,Support
HOUSE/CA43 WATERS SUPPORT OF HER CONSTITUENTS,Support
HOUSE/CA45 PORTER THIRTY SECONDS,Support
HOUSE/CA48 ROUDA CONFESSION,Support
HOUSE/CA48 ROUDA COVERT EFFORT,Contrast
HOUSE/CA48 ROUDA IN THESE HALLS,Support
HOUSE/CA48 STEEL IT ISN'T COMPLICATED,Contrast
HOUSE/CA48 STEEL TAXES ARE HIS GAME,Contrast
HOUSE/CA48 STEEL&NRCC TAXPAYER CHAMPION,Contrast
HOUSE/CA49 LEVIN SHORT SUPPLY,Support
HOUSE/CA49 MARYOTT MY FIRST JOB,Contrast
HOUSE/CA50 CAMPA-NAJJAR A LONG RECORD,Contrast
HOUSE/CA50 CAMPA-NAJJAR GOING OUT OF BUSINESS,Contrast
HOUSE/CA50 CAMPA-NAJJAR JANITOR,Support
HOUSE/CA50 CAMPA-NAJJAR OVERRUN,Contrast
HOUSE/CA50 CAMPA-NAJJAR WHEN THEY THINK ABOUT CALIFORNIA,Support
HOUSE/CA50 ISSA A FRAUD AND A SOCIALIST,Contrast
HOUSE/CA50 ISSA BRAGGING,Contrast
HOUSE/CA50 ISSA IT STARTED HERE,Support
HOUSE/CA50 ISSA NO SPIN JUST FACTS MEDICARE FOR ALL,Contrast
HOUSE/CA50 ISSA RESULTS MATTER,Support
HOUSE/CA50 ISSA TAX CHEAT,Contrast
HOUSE/CA50 ISSA THE ECONOMY IS AT STAKE,Attack
HOUSE/CA50 ISSA WE DON'T KNOW,Contrast
HOUSE/CA51 HIDALGO WORKING TO BE YOUR CONGRESSMAN,Support
HOUSE/CA52 DEBELLO AB5,Contrast
HOUSE/CA52 DEBELLO BUSINESSMAN,Support
HOUSE/CA52 PETERS WHATEVER HAPPENED TO UNITED,Support
HOUSE/CA53 GOMEZ BILLIONAIRE HEIRESS,Contrast
HOUSE/CA53 JACOBS COME TOGETHER,Support
HOUSE/CA53 JACOBS COST OF LIVING,Support
HOUSE/CA53 JACOBS DO WHATS RIGHT,Support
HOUSE/CA53 JACOBS OUR LOCAL ECONOMY,Support
HOUSE/CA53 JACOBS STEPPING UP,Support
HOUSE/CA53 JACOBS THE COST OF HEALTHCARE,Support
HOUSE/CA53 JACOBS TONY LAKE,Support
HOUSE/CO03 BOEBERT DON'T GIVE A,Support
HOUSE/CO03 BOEBERT ENERGY WORKERS,Contrast
HOUSE/CO03 BOEBERT FAR LEFT SOCIALISTS,Support
HOUSE/CO03 BOEBERT LOU VALLARIO,Contrast
HOUSE/CO03 BOEBERT TAKE COLORADO BACK,Support
HOUSE/CO03 BOEBERT&CORC TAKE COLORADO BACK,Support
HOUSE/CO03 MITSCH-BUSH  NOT A CHANCE,Support
HOUSE/CO03 MITSCH-BUSH A JOB TO DO,Support
HOUSE/CO03 MITSCH-BUSH EXCITMENT,Support
HOUSE/CO03 MITSCH-BUSH GRIDLOCK,Contrast
HOUSE/CO03 MITSCH-BUSH KNOW HOW TO WORK TOGETHER,Contrast
HOUSE/CO03 MITSCH-BUSH TIRED OF COMPROMISE,Contrast
HOUSE/CO03 MITSCH-BUSH UNCOMPROMISING,Contrast
HOUSE/CO05 FREELAND MIDWIFE,Support
HOUSE/CO05 FREELAND PANDEMIC,Support
HOUSE/CO05 FREELAND THIS YEAR,Support
HOUSE/CO05 FREELAND UNLIKE MY OPPONENT,Contrast
HOUSE/CO06 CROW FORMER ARMY RANGER,Support
HOUSE/CO06 CROW FORMER ARMY RANGER CLIMATE CHANGE,Support
HOUSE/CO06 CROW FORMER ARMY RANGER PREEXISTING CONDITIONS,Support
HOUSE/CO06 HOUSE IN AND OUT OF HOSPITALS,Support
HOUSE/CT02 COURTNEY DISRUPTION,Support
HOUSE/CT03 DELAURO TALK IS CHEAP,Support
HOUSE/CT03 DELAURO WHO'S BEHIND THEM,Contrast
HOUSE/CT03 STREICKER CHRIS LANCIA,Contrast
HOUSE/CT03 STREICKER DIVIDE US,Support
HOUSE/CT03 STREICKER DIVIDE US SP,Support
HOUSE/CT03 STREICKER DON'T DO ANYTHING FOR FREE,Contrast
HOUSE/CT03 STREICKER SICK AND TIRED,Contrast
HOUSE/CT05 HAYES UNPRECEDENTED TIMES,Support
HOUSE/CT05 SULLIVAN PROSECUTOR,Contrast
HOUSE/DC01 STRACUZZI CIVIL RIGHTS LEGEND,Support
HOUSE/FL01 EHR BEACH,Contrast
HOUSE/FL01 EHR FAMILY MAN,Support
HOUSE/FL01 EHR HUMAN TRAFFICKING,Contrast
HOUSE/FL02 DUNN SERVED,Support
HOUSE/FL03 CAMMACK HAD NOTHING,Support
HOUSE/FL04 DEEGAN COME FROM CORPORATE AMERICA,Support
HOUSE/FL04 DEEGAN CROSS PARTY LINES,Support
HOUSE/FL04 DEEGAN INDEPENDENTS,Support
HOUSE/FL04 DEEGAN REPUBLICANS,Contrast
HOUSE/FL04 DEEGAN TWENTY YEARS AGO,Support
HOUSE/FL04 RUTHERFORD DELIVERING RESULTS NEW OPENING,Support
HOUSE/FL04 RUTHERFORD THE SAME APPROACH,Support
HOUSE/FL04 RUTHERFORD WORKS ACROSS THE AISLE,Support
HOUSE/FL07 MURPHY MY PAPA SP,Support
HOUSE/FL07 VALENTIN OUR DOCTOR 15 SP,Contrast
HOUSE/FL07 VALENTIN SENDING JOBS TO CHINA SP,Contrast
HOUSE/FL13 CRIST CALLED A LOT,Support
HOUSE/FL13 CRIST THE GOLDEN RULE,Support
HOUSE/FL13 CRIST TWO MARINES,Support
HOUSE/FL13 LUNA CROOKS,Support
HOUSE/FL13 LUNA GROWING UP WAS TOUGH,Support
HOUSE/FL14 QUINN EVEN FURTHER LEFT,Contrast
HOUSE/FL14 QUINN FAMILY OF TEN,Support
HOUSE/FL15 COHN OUT OF TOUCH,Contrast
HOUSE/FL15 COHN WON'T FIGHT,Contrast
HOUSE/FL15 FRANKLIN RADICAL AGENDA,Contrast
HOUSE/FL15 FRANKLIN RECALLED TO ACTIVE DUTY,Support
HOUSE/FL15 FRANKLIN&RPFL RECALLED TO ACTIVE DUTY,Support
HOUSE/FL16 BUCHANAN HAND PICKED PELOSI,Contrast
HOUSE/FL16 BUCHANAN RECORD OF ACCOMPLISHMENT,Support
HOUSE/FL16 BUCHANAN TWENTY TWO BILLS,Contrast
HOUSE/FL16 BUCHANAN TWENTY TWO BILLS CORRUPTION,Contrast
HOUSE/FL16 BUCHANAN WORST DAY OF MY LIFE 60,Support
HOUSE/FL16 GOOD FIX PROBLEMS,Support
HOUSE/FL16 GOOD HERE'S THE DEAL,Support
HOUSE/FL16 GOOD SAY ANYTHING,Contrast
HOUSE/FL16 GOOD SAY ANYTHING 15,Contrast
HOUSE/FL18 KEITH ANXIETY,Contrast
HOUSE/FL18 KEITH JEFFREY CORWIN,Contrast
HOUSE/FL18 KEITH JEFFREY EPSTEIN,Contrast
HOUSE/FL18 KEITH LEADERSHIP ON COVID,Contrast
HOUSE/FL18 KEITH SOLDIERS,Contrast
HOUSE/FL18 MAST BEEN THROUGH A LOT,Support
HOUSE/FL18 MAST HARMONY,Support
HOUSE/FL18 MAST HARMONY 60,Support
HOUSE/FL18 MAST HOW RADICAL,Contrast
HOUSE/FL18 MAST WATER DEFINES US,Support
HOUSE/FL19 BANYAI IN THE AMBULANCE,Contrast
HOUSE/FL21 FRANKEL TOUGH TIMES,Support
HOUSE/FL24 KNEPPER SUSPENDED MY CAMPAIGN 60,Support
HOUSE/FL26 GIMENEZ GET RESULTS,Contrast
HOUSE/FL26 GIMENEZ GET RESULTS SP,Contrast
HOUSE/FL26 GIMENEZ ONLY LOOK OUT FOR THEMSELVES,Contrast
HOUSE/FL26 MUCARSEL-POWELL ECUADOR,Support
HOUSE/FL26 MUCARSEL-POWELL ECUADOR SP,Support
HOUSE/FL26 MUCARSEL-POWELL ONLY IN AMERICA,Support
HOUSE/FL26 MUCARSEL-POWELL ONLY IN AMERICA SP,Support
HOUSE/FL26 MUCARSEL-POWELL&DCCC AMERICAN AIRLINES,Contrast
HOUSE/FL26 MUCARSEL-POWELL&DCCC AMERICAN AIRLINES SP,Contrast
HOUSE/FL26 MUCARSEL-POWELL&DCCC ONLY IN AMERICA,Support
HOUSE/FL26 MUCARSEL-POWELL&DCCC THERES A DIFFERENCE,Support
HOUSE/FL26 MUCARSEL-POWELL&DCCC THERES A DIFFERENCE SP,Support
HOUSE/FL26 MUCARSEL-POWELL&DCCC YOU HAVE A CHOICE,Support
HOUSE/FL26 MUCARSEL-POWELL&DCCC YOU HAVE A CHOICE SP,Support
HOUSE/FL27 SALAZAR CORPORATE RELIEF,Contrast
HOUSE/FL27 SALAZAR CORPORATE RELIEF SP,Contrast
HOUSE/FL27 SALAZAR MY AMERICAN JOURNEY,Contrast
HOUSE/FL27 SALAZAR THE MIAMI HERALD,Contrast
HOUSE/FL27 SALAZAR&NRCC FIVE YEARS SP,Support
HOUSE/FL27 SHALALA FOUR MORE YEARS,Contrast
HOUSE/FL27 SHALALA KEEPING OUR COMMUNITY SAFE,Support
HOUSE/FL27 SHALALA KEEPING OUR COMMUNITY SAFE SP,Support
HOUSE/FL27 SHALALA LETICIA CALLAVA SP,Support
HOUSE/FL27 SHALALA THE LAST FIVE MONTHS 60,Support
HOUSE/FL27 SHALALA THE LAST FIVE MONTHS 60 SP,Support
HOUSE/GA01 GRIGGS ONE OF TEN,Support
HOUSE/GA05 HALL JOHN LEWIS,Support
HOUSE/GA05 HALL JOHN LEWIS EARLY VOTING,Support
HOUSE/GA05 HALL LEADERS TRUST,Support
HOUSE/GA05 HALL THE TIME IS NOW,Support
HOUSE/GA05 HALL THE TIME IS NOW SEPTEMBER,Support
HOUSE/GA06 HANDEL RESTAURANT,Support
HOUSE/GA06 HANDEL&GARP WRECKED OUR ECONOMY,Support
HOUSE/GA06 MCBATH BREAST CANCER,Contrast
HOUSE/GA06 MCBATH CHOICE,Attack
HOUSE/GA06 MCBATH ENABLER,Contrast
HOUSE/GA06 MCBATH HERE WE GO AGAIN,Contrast
HOUSE/GA06 MCBATH JORDAN,Support
HOUSE/GA06 MCBATH JORDAN 60,Support
HOUSE/GA06 MCBATH JORDAN MEETING 60,Support
HOUSE/GA06 MCBATH SHE IGNORED THE WARNINGS,Support
HOUSE/GA06 MCBATH TWO TOURS IN VIETNAM,Support
HOUSE/GA07 BOURDEAUX STEPPED UP,Support
HOUSE/GA07 BOURDEAUX&DCCC MISLED,Contrast
HOUSE/GA07 BOURDEAUX&DCCC TWO OPTIONS,Support
HOUSE/GA07 MCCORMICK CLASS PRESIDENT,Support
HOUSE/GA07 MCCORMICK DEBRA,Support
HOUSE/GA07 MCCORMICK MARINES,Support
HOUSE/GA07 MCCORMICK RESPONSE,Contrast
HOUSE/GA07 MCCORMICK THIS JOB,Support
HOUSE/IA01 FINKENAUER DRIVES EVERYTHING,Support
HOUSE/IA01 FINKENAUER FIGHT FOR FAMILIES,Support
HOUSE/IA01 FINKENAUER FIRST THING I DID,Support
HOUSE/IA01 FINKENAUER GREW UP RIGHT HERE,Support
HOUSE/IA01 FINKENAUER IN THIS TOGETHER,Support
HOUSE/IA01 FINKENAUER KYLE AND BILL STUMPF,Support
HOUSE/IA01 FINKENAUER LIFELINE,Support
HOUSE/IA01 FINKENAUER MIKE SADLER,Contrast
HOUSE/IA01 FINKENAUER MY HERO,Support
HOUSE/IA01 FINKENAUER NOT WHAT YOU SEE ON THE NEWS,Support
HOUSE/IA01 FINKENAUER THE KING FAMILY,Support
HOUSE/IA01 FINKENAUER THIS FARM,Support
HOUSE/IA01 FINKENAUER&DCCC LIFELINE,Support
HOUSE/IA01 HINSON DEBATES,Contrast
HOUSE/IA01 HINSON IN THE STATE HOUSE,Support
HOUSE/IA01 HINSON NIGHTMARE,Support
HOUSE/IA01 HINSON THE MORNING NEWS,Support
HOUSE/IA01 HINSON TIRED OF TALKING,Support
HOUSE/IA01 HINSON&NRCC THE ONE TWO PUNCH,Contrast
HOUSE/IA02 HART AN HONEST DAYS WORK,Support
HOUSE/IA02 HART DIRK BRAET,Support
HOUSE/IA02 HART HEALTHCARE CRISIS,Support
HOUSE/IA02 HART NEGATIVE POLITICAL ADS,Support
HOUSE/IA02 HART ONE OF NINE,Support
HOUSE/IA02 HART REPUBLICANS,Support
HOUSE/IA02 HART&DCCC DENISE,Contrast
HOUSE/IA02 MILLER-MEEKS LIBERAL ELITES,Attack
HOUSE/IA02 MILLER-MEEKS SEVEN YEARS AGO,Support
HOUSE/IA02 MILLER-MEEKS THE EXPERTS,Contrast
HOUSE/IA02 MILLER-MEEKS&NRCC KITCHEN FIRE,Support
HOUSE/IA02 MILLER-MEEKS&NRCC PANDEMIC,Contrast
HOUSE/IA03 AXNE A TOUGH FEW YEARS,Support
HOUSE/IA03 AXNE BURGER,Contrast
HOUSE/IA03 AXNE DAVID LUETH,Support
HOUSE/IA03 AXNE FRAN PARR,Support
HOUSE/IA03 AXNE IOWANS HELP EACH OTHER,Contrast
HOUSE/IA03 AXNE JESSICA PARSONS,Contrast
HOUSE/IA03 AXNE JUSTINE,Support
HOUSE/IA03 AXNE OPERATION,Contrast
HOUSE/IA03 AXNE OXYGEN MASK,Contrast
HOUSE/IA03 AXNE WOMENS RIGHTS,Contrast
HOUSE/IA03 AXNE YOU WOULDN'T ASK A DOCTOR,Support
HOUSE/IA03 YOUNG FIGHTING TO RECOVER,Contrast
HOUSE/IA03 YOUNG GIVEAWAY,Contrast
HOUSE/IA03 YOUNG HIT HARD,Contrast
HOUSE/IA03 YOUNG MARY KRAMER,Contrast
HOUSE/IA03 YOUNG PELOSI AND AXNE,Contrast
HOUSE/IA03 YOUNG RECOGNIZE THIS GUY,Contrast
HOUSE/IA03 YOUNG SHOW UP TO WORK,Contrast
HOUSE/IA04 FEENSTRA  NO FRIEND OF FARMERS,Contrast
HOUSE/IA04 FEENSTRA NEEDS A COMMON SENSE LEADER,Contrast
HOUSE/IA04 FEENSTRA NO FRIEND OF FARMERS HEALTHCARE,Contrast
HOUSE/IA04 SCHOLTEN AMERICAN FARMERS,Support
HOUSE/IA04 SCHOLTEN BOB BJORHOLM,Support
HOUSE/IA04 SCHOLTEN GRANDMA,Support
HOUSE/IA04 SCHOLTEN NOT GONNA LIE,Support
HOUSE/ID01 SOTO TIRED OF CAREER POLITICIANS,Support
HOUSE/IL06 CASTEN A NAME,Contrast
HOUSE/IL06 CASTEN EMILIJA,Support
HOUSE/IL06 CASTEN HIS CHOICE YOUR CHOICE,Contrast
HOUSE/IL06 CASTEN SCIENTIST,Support
HOUSE/IL06 CASTEN SUSAN NEDZA,Contrast
HOUSE/IL06 CASTEN TOTALLY UNDER CONTROL,Contrast
HOUSE/IL10 SCHNEIDER EASY TO FEEL ALONE,Support
HOUSE/IL12 LENZI WE THE PEOPLE,Contrast
HOUSE/IL13 DAVIS ANOTHER GREAT DEPRESSION,Support
HOUSE/IL13 DAVIS ANOTHER LIE,Contrast
HOUSE/IL13 DAVIS KATHY FERGIN,Contrast
HOUSE/IL13 DAVIS LINDY MCDONALD,Support
HOUSE/IL13 DAVIS LYING TO YOU,Contrast
HOUSE/IL13 DAVIS MAIN STREET,Contrast
HOUSE/IL13 DAVIS MICHAEL MADIGAN,Contrast
HOUSE/IL13 DAVIS PAM BURGE,Contrast
HOUSE/IL13 DAVIS SARAH ROSENTHAL,Support
HOUSE/IL13 DAVIS SHANNON,Support
HOUSE/IL13 LONDRIGAN 11 YEARS AGO 60,Contrast
HOUSE/IL13 LONDRIGAN 11 YEARS AGO NAME LABEL 60,Contrast
HOUSE/IL13 LONDRIGAN A NATION MOURNS,Contrast
HOUSE/IL13 LONDRIGAN AFTER ALL THE ATTACKS,Contrast
HOUSE/IL13 LONDRIGAN BOB VAUTRAIN,Attack
HOUSE/IL13 LONDRIGAN HANNAH,Contrast
HOUSE/IL13 LONDRIGAN JAYNE,Contrast
HOUSE/IL13 LONDRIGAN ROSS RICHARDSON,Contrast
HOUSE/IL13 LONDRIGAN SCANDALS AND SPECIAL FAVORS,Contrast
HOUSE/IL13 LONDRIGAN STEPHEN,Attack
HOUSE/IL13 LONDRIGAN THIS FARM,Support
HOUSE/IL13 LONDRIGAN WHAT THE VIRUS DID,Support
HOUSE/IL14 OBERWEIS CONDEMN RIOTING,Contrast
HOUSE/IL14 OBERWEIS PROTESTS,Contrast
HOUSE/IL14 OBERWEIS RIOTING AND LOOTING,Support
HOUSE/IL14 UNDERWOOD ADVOCATE,Support
HOUSE/IL14 UNDERWOOD MY DAUGHTER,Support
HOUSE/IL14 UNDERWOOD WE ORGANIZED,Support
HOUSE/IL14 UNDERWOOD WE ORGANIZED 60,Support
HOUSE/IL17 BUSTOS BEHIND THE ADS,Contrast
HOUSE/IL17 BUSTOS HERE'S TO THE DOERS,Support
HOUSE/IL17 BUSTOS KYLIE RINEY,Support
HOUSE/IL17 BUSTOS RADIO,Support
HOUSE/IL17 BUSTOS RUNNING FROM HER RECORD,Contrast
HOUSE/IL17 KING CHASING POWER AND MONEY,Support
HOUSE/IL17 KING CHASING POWER AND MONEY NEW END CARD,Support
HOUSE/IL17 KING HEALTHCARE,Support
HOUSE/IL17 KING LOOK OUT FOR EACH OTHER,Contrast
HOUSE/IL17 KING&NRCC FOUR THOUSAND FARMS,Contrast
HOUSE/IL17 KING&NRCC STRUGGLING,Attack
HOUSE/IN02 HACKETT A FAIR SHOT,Support
HOUSE/IN02 HACKETT FAILED,Contrast
HOUSE/IN02 HACKETT THE PEOPLES HOUSE,Support
HOUSE/IN02 WALORSKI CAN'T TRUST CHINA,Support
HOUSE/IN02 WALORSKI EVERY MORNING,Support
HOUSE/IN02 WALORSKI FALSE NEGATIVE CAMPAIGN,Contrast
HOUSE/IN02 WALORSKI GETS RESULTS,Support
HOUSE/IN02 WALORSKI JOE,Support
HOUSE/IN02 WALORSKI LUXURY,Contrast
HOUSE/IN02 WALORSKI MY BUSINESS SAVED,Support
HOUSE/IN02 WALORSKI STEPHANIE STEENBEKE 60,Support
HOUSE/IN02 WALORSKI TWO OF A KIND,Contrast
HOUSE/IN03 COLDIRON GREW UP IN THE COUNTY,Contrast
HOUSE/IN05 HALE BIPARTISAN BILLS,Support
HOUSE/IN05 HALE CAN HOOSIERS TRUST VICTORIA,Contrast
HOUSE/IN05 HALE EMILY,Support
HOUSE/IN05 HALE HEAR IT EVERY DAY,Support
HOUSE/IN05 HALE LORI AND DAVID,Support
HOUSE/IN05 HALE NEVER FORGET,Support
HOUSE/IN05 HALE REBUILDING,Support
HOUSE/IN05 HALE THOUSANDS OF PEOPLE,Support
HOUSE/IN05 HALE TOOK MY BREATH AWAY,Support
HOUSE/IN05 HALE WHEN IT COMES TO HEALTHCARE,Support
HOUSE/IN05 HALE YOUNG SINGLE MOM,Support
HOUSE/IN05 SPARTZ BROKEN,Support
HOUSE/IN05 SPARTZ CELLPHONE TOWERS,Contrast
HOUSE/IN05 SPARTZ CHARLES,Contrast
HOUSE/IN05 SPARTZ EASTERN EUROPE,Support
HOUSE/IN05 SPARTZ LYING,Contrast
HOUSE/IN05 SPARTZ OUR MOM,Support
HOUSE/IN05 SPARTZ PAY TO PLAY,Contrast
HOUSE/IN05 SPARTZ SOCIALIST COUNTRY,Support
HOUSE/IN05 SPARTZ STATE SENATORS 60,Support
HOUSE/IN06 PENCE UNCERTAIN TIMES,Support
HOUSE/KS01 BARNETT WHAT YOU SEE IS WHAT YOU GET,Contrast
HOUSE/KS02 DELAISLA CHOOSE,Contrast
HOUSE/KS02 DELAISLA FALSE,Contrast
HOUSE/KS02 DELAISLA SINGLE MOM,Contrast
HOUSE/KS02 DELAISLA WHEN I NEEDED IT MOST,Support
