ad_id,ad_tone
CR00218563738867859457,Promote
CR00218611361465237505,Contrast
CR00218611361465237505,Contrast
CR00218611361465237505,Contrast
CR00218611361465237505,Contrast
CR00220605531960639489,Promote
CR00220679748995514369,Promote
CR00222350456913920001,Promote
CR00223411485634723841,Promote
CR00223443096594022401,Contrast
CR00223443096594022401,Contrast
CR00223443096594022401,Contrast
CR00223443096594022401,Contrast
CR00232960469244051457,Contrast
CR00232960469244051457,Contrast
CR00232960469244051457,Contrast
CR00232960469244051457,Contrast
CR00233098183075430401,Promote
CR00236712002918023169,Promote
CR00237648786824888321,Contrast
CR00237951427400433665,Promote
CR00237951427400433665,Promote
CR00237951427400433665,Promote
CR00237951427400433665,Promote
CR00239412472195317761,Promote
CR00243833814609035265,Promote
CR00246014695922728961,Contrast
CR00246014695922728961,Contrast
CR00246014695922728961,Contrast
CR00246014695922728961,Contrast
CR00246348397701758977,Contrast
CR00246348397701758977,Contrast
CR00246348397701758977,Contrast
CR00246348397701758977,Contrast
CR00248361603492216833,Promote
CR00249269800096759809,Promote
CR00249826152980414465,Promote
CR00250711053682343937,Promote
CR00250720605689610241,Promote
CR00252374271177785345,Promote
CR00253778897282269185,Contrast
CR00253778897282269185,Contrast
CR00253778897282269185,Contrast
CR00253778897282269185,Contrast
CR00254914692793761793,Contrast
CR00254914692793761793,Contrast
CR00254914692793761793,Contrast
CR00254914692793761793,Contrast
CR00258445224630550529,Contrast
CR00262694287316090881,Promote
CR00262694287316090881,Promote
CR00262694287316090881,Promote
CR00262694287316090881,Promote
CR00262712429257949185,Promote
CR00262736618513760257,Promote
CR00263249815566024705,Promote
CR00266934553908609025,Contrast
CR00266934553908609025,Contrast
CR00266934553908609025,Contrast
CR00266934553908609025,Contrast
CR00267483210210869249,Contrast
CR00267483210210869249,Contrast
CR00267483210210869249,Contrast
CR00267483210210869249,Contrast
CR00270879601629069313,Contrast
CR00270996149861613569,Contrast
CR00270996149861613569,Contrast
CR00270996149861613569,Contrast
CR00270996149861613569,Contrast
CR00272570650512588801,Contrast
CR00273830690838020097,Promote
CR00275330424698306561,Promote
CR00275370900470104065,Promote
CR00277993441860780033,Promote
CR00280841520574103553,Promote
CR00288564146650218497,Promote
CR00289053429324578817,Promote
CR00289770310905888769,Promote
CR00289963550074470401,Promote
CR00292317260872155137,Promote
CR00294878641928536065,Promote
CR00294878641928536065,Promote
CR00294878641928536065,Promote
CR00294878641928536065,Promote
CR00295811027788890113,Promote
CR00295811027788890113,Promote
CR00295811027788890113,Promote
CR00295811027788890113,Promote
CR00296993827422470145,Contrast
CR00298563105393213441,Attack
CR00298563105393213441,Attack
CR00298563105393213441,Attack
CR00298563105393213441,Attack
CR00305457867933089793,Contrast
CR00305457867933089793,Contrast
CR00305457867933089793,Contrast
CR00305457867933089793,Contrast
CR00305889082649608193,Promote
CR00307240451159621633,Promote
CR00309240187932639233,Promote
CR00311267687374258177,Promote
CR00312266043932278785,Promote
CR00317537377553743873,Contrast
CR00317537377553743873,Contrast
CR00317537377553743873,Contrast
CR00317537377553743873,Contrast
CR00318744366443134977,Promote
CR00321174562018426881,Promote
CR00322825753605439489,Contrast
CR00324662212901732353,Promote
CR00328694122040786945,Promote
CR00330819478017277953,Contrast
CR00330819478017277953,Contrast
CR00330819478017277953,Contrast
CR00330819478017277953,Contrast
CR00332562203947302913,Promote
CR00333658966796009473,Contrast
CR00333658966796009473,Contrast
CR00333658966796009473,Contrast
CR00333658966796009473,Contrast
CR00334646877993566209,Contrast
CR00334646877993566209,Contrast
CR00334646877993566209,Contrast
CR00334646877993566209,Contrast
CR00338679336888434689,Contrast
CR00339378076527886337,Attack
CR00345033964341166081,Contrast
CR00345033964341166081,Contrast
CR00345033964341166081,Contrast
CR00345033964341166081,Contrast
CR00347622764468764673,Attack
CR00348115895433822209,Promote
CR00351338564014833665,Promote
CR00351578257549688833,Contrast
CR00351578257549688833,Contrast
CR00351578257549688833,Contrast
CR00351578257549688833,Contrast
CR00351813003282219009,Contrast
CR00351813003282219009,Contrast
CR00351813003282219009,Contrast
CR00351813003282219009,Contrast
CR00357982912781484033,Promote
CR00358596440269783041,Contrast
CR00358596440269783041,Contrast
CR00358596440269783041,Contrast
CR00358596440269783041,Contrast
CR00359938462930960385,Promote
CR00361348242996199425,Contrast
CR00361348242996199425,Contrast
CR00361348242996199425,Contrast
CR00361348242996199425,Contrast
CR00362368589786775553,Promote
CR00362368589786775553,Promote
CR00362368589786775553,Promote
CR00362368589786775553,Promote
CR00363298707904397313,Promote
CR00364096197431918593,Contrast
CR00364096197431918593,Contrast
CR00364096197431918593,Contrast
CR00364096197431918593,Contrast
CR00365357337268977665,Contrast
CR00365357337268977665,Contrast
CR00365357337268977665,Contrast
CR00365357337268977665,Contrast
CR00366661083181613057,Promote
CR00369372203977801729,Attack
CR00370464568779997185,Promote
CR00372947266035515393,Promote
CR00372947266035515393,Promote
CR00372947266035515393,Promote
CR00372947266035515393,Promote
CR00373663048105197569,Promote
CR00375786205058433025,Contrast
CR00375786205058433025,Contrast
CR00375786205058433025,Contrast
CR00375786205058433025,Contrast
CR00376074277104910337,Promote
CR00376074277104910337,Promote
CR00376074277104910337,Promote
CR00376074277104910337,Promote
CR00376688629226930177,Promote
CR00377707601627971585,Promote
CR00379017119976652801,Promote
CR00380621857197391873,Promote
CR00386926456871059457,Contrast
CR00386926456871059457,Contrast
CR00386926456871059457,Contrast
CR00386926456871059457,Contrast
CR00388268685690667009,Promote
CR00388567752853422081,Promote
CR00389046315289411585,Promote
CR00392722532416880641,Contrast
CR00392722532416880641,Contrast
CR00392722532416880641,Contrast
CR00392722532416880641,Contrast
CR00395464370819170305,Promote
CR00396348172009472001,Contrast
CR00396348172009472001,Contrast
CR00396348172009472001,Contrast
CR00396348172009472001,Contrast
CR00396634594788507649,Promote
CR00396778081055932417,Contrast
CR00396778081055932417,Contrast
CR00396778081055932417,Contrast
CR00396778081055932417,Contrast
CR00397156313055887361,Contrast
CR00397156313055887361,Contrast
CR00397156313055887361,Contrast
CR00397156313055887361,Contrast
CR00398319046602260481,Promote
CR00398319046602260481,Promote
CR00398319046602260481,Promote
CR00398319046602260481,Promote
CR00398714870788259841,Contrast
CR00398714870788259841,Contrast
CR00398714870788259841,Contrast
CR00398714870788259841,Contrast
CR00406212715455971329,Promote
CR00408974482506514433,Promote
CR00412215224309907457,Contrast
CR00413978840960860161,Contrast
CR00413978840960860161,Contrast
CR00413978840960860161,Contrast
CR00413978840960860161,Contrast
CR00416352686565228545,Promote
CR00416352686565228545,Promote
CR00416352686565228545,Promote
CR00416352686565228545,Promote
CR00419722071229071361,Promote
CR00420668269704249345,Contrast
CR00422050355820363777,Contrast
CR00422622651622621185,Promote
CR00423275211773706241,Promote
CR00423757347622486017,Promote
CR00424663894959587329,Attack
CR00424663894959587329,Attack
CR00424663894959587329,Attack
CR00424663894959587329,Attack
CR00425731245872250881,Contrast
CR00425731245872250881,Contrast
CR00425731245872250881,Contrast
CR00425731245872250881,Contrast
CR00427138895633711105,Promote
CR00428840664755601409,Contrast
CR00431240623761129473,Promote
CR00431263163749498881,Promote
CR00431306594458796033,Promote
CR00432530625778417665,Promote
CR00432616456404860929,Promote
CR00440487310392295425,Promote
CR00444218709259583489,Promote
CR00445457858864087041,Contrast
CR00446052694654713857,Promote
CR00446470509073268737,Contrast
CR00446470509073268737,Contrast
CR00446470509073268737,Contrast
CR00446470509073268737,Contrast
CR00447904272235888641,Contrast
CR00447904272235888641,Contrast
CR00447904272235888641,Contrast
CR00447904272235888641,Contrast
CR00448384758817226753,Promote
CR00449833915142635521,Promote
CR00452510126444642305,Contrast
CR00452510126444642305,Contrast
CR00452510126444642305,Contrast
CR00452510126444642305,Contrast
CR00455804263281459201,Contrast
CR00455804263281459201,Contrast
CR00455804263281459201,Contrast
CR00455804263281459201,Contrast
CR00458418901932310529,Promote
CR00458418901932310529,Promote
CR00458418901932310529,Promote
CR00458418901932310529,Promote
CR00458898289002020865,Contrast
CR00458898289002020865,Contrast
CR00458898289002020865,Contrast
CR00458898289002020865,Contrast
CR00460255910984417281,Promote
CR00461512927652872193,Promote
CR00461642670024949761,Contrast
CR00463286165030567937,Promote
CR00465809269338406913,Promote
CR00470287030442524673,Promote
CR00473080889488703489,Promote
CR00478171628325306369,Attack
CR00478187571243909121,Promote
CR00479109511743799297,Promote
CR00480122161952980993,Contrast
CR00480122161952980993,Contrast
CR00480122161952980993,Contrast
CR00480122161952980993,Contrast
CR00481562522185367553,Promote
CR00481562522185367553,Promote
CR00481612000208617473,Contrast
CR00481612000208617473,Contrast
CR00481612000208617473,Contrast
CR00481612000208617473,Contrast
CR00482710412324765697,Promote
CR00482710412324765697,Promote
CR00482710412324765697,Promote
CR00482710412324765697,Promote
CR00485240388580278273,Contrast
CR00485240388580278273,Contrast
CR00485240388580278273,Contrast
CR00485240388580278273,Contrast
CR00489516389300699137,Promote
CR00491769288626012161,Promote
CR00494864413858201601,Promote
CR00494864413858201601,Promote
CR00494864413858201601,Promote
CR00494864413858201601,Promote
CR00495268759259316225,Contrast
CR00497374598904414209,Promote
CR00497520559073001473,Contrast
CR00497520559073001473,Contrast
CR00497520559073001473,Contrast
CR00497520559073001473,Contrast
CR00498804788654243841,Promote
CR00501575832834146305,Promote
CR00502254231508484097,Promote
CR00502574189392166913,Promote
CR00502574189392166913,Promote
CR00502574189392166913,Promote
CR00502574189392166913,Promote
CR00503227299299065857,Attack
CR00503227299299065857,Attack
CR00503227299299065857,Attack
CR00503227299299065857,Attack
CR00504641821008199681,Attack
CR00504641821008199681,Attack
CR00504641821008199681,Attack
CR00504641821008199681,Attack
CR00506031053949894657,Promote
CR00511100902065569793,Promote
CR00511480233577152513,Promote
CR00513220760483921921,Promote
CR00513220760483921921,Promote
CR00513220760483921921,Promote
CR00513220760483921921,Promote
CR00515208677506940929,Contrast
CR00515208677506940929,Contrast
CR00515208677506940929,Contrast
CR00515208677506940929,Contrast
CR00519159772541353985,Promote
CR00519705611345068033,Promote
CR00519705611345068033,Promote
CR00519705611345068033,Promote
CR00519705611345068033,Promote
CR00524212578226798593,Promote
CR00524327271033470977,Promote
CR00524327271033470977,Promote
CR00524327271033470977,Promote
CR00524327271033470977,Promote
CR00525267834511556609,Promote
CR00525267834511556609,Promote
CR00525267834511556609,Promote
CR00525267834511556609,Promote
CR00528064167458897921,Contrast
CR00528064167458897921,Contrast
CR00528064167458897921,Contrast
CR00528064167458897921,Contrast
CR00528735969063469057,Contrast
CR00528735969063469057,Contrast
CR00528735969063469057,Contrast
CR00528735969063469057,Contrast
CR00532133185115389953,Contrast
CR00536282741998616577,Contrast
CR00536282741998616577,Contrast
CR00536282741998616577,Contrast
CR00536282741998616577,Contrast
CR00536796488806694913,Promote
CR00536796488806694913,Promote
CR00536796488806694913,Promote
CR00536796488806694913,Promote
CR00541958421021196289,Promote
CR00542125546788618241,Promote
CR00542125546788618241,Promote
CR00542125546788618241,Promote
CR00542125546788618241,Promote
CR00542478764899041281,Attack
CR00542478764899041281,Attack
CR00542478764899041281,Attack
CR00542478764899041281,Attack
CR00543558485317517313,Promote
CR00543967503643049985,Attack
CR00545045025038270465,Contrast
CR00545045025038270465,Contrast
CR00545045025038270465,Contrast
CR00545045025038270465,Contrast
CR00547372416276365313,Promote
CR00547372416276365313,Promote
CR00547372416276365313,Promote
CR00547372416276365313,Promote
CR00547587920555409409,Promote
CR00551185522601492481,Contrast
CR00551550560461914113,Promote
CR00551827912270020609,Promote
CR00554497251624353793,Promote
CR00560917368738414593,Promote
CR00561558590175838209,Contrast
CR00561558590175838209,Contrast
CR00561558590175838209,Contrast
CR00561558590175838209,Contrast
CR00562325774414118913,Promote
CR00570773597128228865,Promote
CR00572920943337275393,Promote
CR00574042170319699969,Promote
CR00575505895174176769,Contrast
CR00577415746871623681,Promote
CR00578390463929647105,Contrast
CR00578563362133114881,Promote
CR00581646392737398785,Promote
CR00582376468458242049,Contrast
CR00582376468458242049,Contrast
CR00582376468458242049,Contrast
CR00582376468458242049,Contrast
CR00582905608429109249,Promote
CR00584456744457994241,Promote
CR00585232518630866945,Contrast
CR00587133230637907969,Contrast
CR00587133230637907969,Contrast
CR00587133230637907969,Contrast
CR00587133230637907969,Contrast
CR00589259411248119809,Promote
CR00591229736085094401,Contrast
CR00597177269357641729,Promote
CR00597177269357641729,Promote
CR00597177269357641729,Promote
CR00597177269357641729,Promote
CR00597317250931752961,Promote
CR00597336148787855361,Promote
CR00597336148787855361,Promote
CR00597336148787855361,Promote
CR00597336148787855361,Promote
CR00599062656921370625,Contrast
CR00599062656921370625,Contrast
CR00599062656921370625,Contrast
CR00599062656921370625,Contrast
CR00599311421427154945,Promote
CR00599888115275923457,Promote
CR00599981024008470529,Contrast
CR00599981024008470529,Contrast
CR00599981024008470529,Contrast
CR00599981024008470529,Contrast
CR00601380702310629377,Attack
CR00601421384240857089,Contrast
CR00601421384240857089,Contrast
CR00601421384240857089,Contrast
CR00601421384240857089,Contrast
CR00601680868985012225,Contrast
CR00601680868985012225,Contrast
CR00601680868985012225,Contrast
CR00601680868985012225,Contrast
CR00602407646170972161,Contrast
CR00605669897170583553,Contrast
CR00605669897170583553,Contrast
CR00605669897170583553,Contrast
CR00605669897170583553,Contrast
CR00607928294054035457,Promote
CR00610342821588631553,Contrast
CR00610342821588631553,Contrast
CR00610342821588631553,Contrast
CR00610342821588631553,Contrast
CR00612507966142152705,Contrast
CR00614794744169496577,Promote
CR00615358175159255041,Promote
CR00615700466872877057,Promote
CR00616034993285627905,Promote
CR00616965729878540289,Promote
CR00620243648918847489,Promote
CR00620959156110622721,Promote
CR00622499022145323009,Contrast
CR00622499022145323009,Contrast
CR00622499022145323009,Contrast
CR00622499022145323009,Contrast
CR00625868750406549505,Promote
CR00626626588795994113,Promote
CR00626909713040146433,Promote
CR00626909713040146433,Promote
CR00626909713040146433,Promote
CR00626909713040146433,Promote
CR00629331387400323073,Promote
CR00634167864173002753,Promote
CR00634334165306703873,Promote
CR00636520338020106241,Promote
CR00636520338020106241,Promote
CR00636520338020106241,Promote
CR00636520338020106241,Promote
CR00636816862562222081,Promote
CR00637537042678415361,Promote
CR00637985643422547969,Promote
CR00639106870404972545,Promote
CR00640828430736162817,Promote
CR00640828430736162817,Promote
CR00640828430736162817,Promote
CR00640828430736162817,Promote
CR00641353653696856065,Promote
CR00641681102003503105,Promote
CR00644687166793842689,Promote
CR00646129176293670913,Promote
CR00646129176293670913,Promote
CR00646129176293670913,Promote
CR00646129176293670913,Promote
CR00648774051514286081,Promote
CR00648774051514286081,Promote
CR00648774051514286081,Promote
CR00648774051514286081,Promote
CR00649540204960415745,Promote
CR00651067632769826817,Contrast
CR00653657876006436865,Promote
CR00654680627978698753,Promote
CR00657775753210888193,Promote
CR00658956628699119617,Promote
CR00660106717861773313,Promote
CR00662815158598369281,Promote
CR00664157318698500097,Contrast
CR00666934685070262273,Contrast
CR00668715893907259393,Promote
CR00669212873163014145,Contrast
CR00669212873163014145,Contrast
CR00669212873163014145,Contrast
CR00669212873163014145,Contrast
CR00671333831092994049,Promote
CR00676886089935355905,Promote
CR00676886089935355905,Promote
CR00676886089935355905,Promote
CR00676886089935355905,Promote
CR00676903956999307265,Promote
CR00678394619888664577,Contrast
CR00678394619888664577,Contrast
CR00678394619888664577,Contrast
CR00678394619888664577,Contrast
CR00681279738399948801,Promote
CR00681737135237103617,Promote
CR00682285516661456897,Promote
CR00683099155266011137,Contrast
CR00683909770213588993,Promote
CR00685454858928521217,Promote
CR00686422429160964097,Contrast
CR00686422429160964097,Contrast
CR00686422429160964097,Contrast
CR00686422429160964097,Contrast
CR00689894686881480705,Promote
CR00690260549375623169,Contrast
CR00696422487415586817,Promote
CR00697741145454673921,Promote
CR00701535216484745217,Promote
CR00703802959217033217,Promote
CR00705716659205177345,Promote
CR00706439038344626177,Contrast
CR00706439038344626177,Contrast
CR00706439038344626177,Contrast
CR00706439038344626177,Contrast
CR00709277702489636865,Promote
CR00709277702489636865,Promote
CR00709277702489636865,Promote
CR00709277702489636865,Promote
CR00710487165280190465,Contrast
CR00710487165280190465,Contrast
CR00710487165280190465,Contrast
CR00710487165280190465,Contrast
CR00710755720995274753,Promote
CR00711379144088223745,Promote
CR00712127911506739201,Promote
CR00713297517000785921,Contrast
CR00713297517000785921,Contrast
CR00713297517000785921,Contrast
CR00713297517000785921,Contrast
CR00713302945839448065,Promote
CR00716732666203865089,Promote
CR00716732666203865089,Promote
CR00716732666203865089,Promote
CR00716732666203865089,Promote
CR00717162575250325505,Promote
CR00717809088087457793,Promote
CR00718536964785045505,Promote
CR00719168909093109761,Promote
CR00719976225505804289,Promote
CR00720068584482537473,Attack
CR00721770078726520833,Promote
CR00722187343389261825,Contrast
CR00728345708016435201,Promote
CR00728345708016435201,Promote
CR00728345708016435201,Promote
CR00728345708016435201,Promote
CR00729024931324493825,Promote
CR00729868531620904961,Attack
CR00731852050597412865,Promote
CR00732790483771719681,Promote
CR00732791033527533569,Promote
CR00734708925403758593,Promote
CR00734708925403758593,Promote
CR00734708925403758593,Promote
CR00734708925403758593,Promote
CR00735217380812128257,Promote
CR00738075286410625025,Promote
CR00739060792426496001,Promote
CR00739094533689573377,Contrast
CR00739094533689573377,Contrast
CR00739094533689573377,Contrast
CR00739094533689573377,Contrast
CR00742152275526418433,Contrast
CR00742152275526418433,Contrast
CR00742152275526418433,Contrast
CR00742152275526418433,Contrast
CR00746754831200288769,Promote
CR00748855997920968705,Promote
CR00753411274594844673,Promote
CR00757356322315304961,Promote
CR00758011631245459457,Promote
CR00758245552344268801,Contrast
CR00758245552344268801,Contrast
CR00758245552344268801,Contrast
CR00758245552344268801,Contrast
CR00758298328902402049,Contrast
CR00758442090047733761,Promote
CR00761313464663670785,Promote
CR00762310721710063617,Promote
CR00765498755674800129,Promote
CR00765535589314330625,Promote
CR00767403659569922049,Contrast
CR00767403659569922049,Contrast
CR00767403659569922049,Contrast
CR00767403659569922049,Contrast
CR00768984757290663937,Promote
CR00769741221290573825,Promote
CR00770131547918434305,Promote
CR00770131547918434305,Promote
CR00770131547918434305,Promote
CR00770131547918434305,Promote
CR00770670033738137601,Contrast
CR00770670033738137601,Contrast
CR00770670033738137601,Contrast
CR00770670033738137601,Contrast
CR00771938045522870273,Promote
CR00777293491783860225,Promote
CR00778239896417468417,Promote
CR00778239896417468417,Promote
CR00778239896417468417,Promote
CR00778239896417468417,Promote
CR00780531828405567489,Promote
CR00781244311940366337,Contrast
CR00783465325428473857,Promote
CR00783899357643538433,Promote
CR00784285561102794753,Promote
CR00788518749589209089,Promote
CR00790439527683457025,Attack
CR00791546735892627457,Contrast
CR00791546735892627457,Contrast
CR00791546735892627457,Contrast
CR00791546735892627457,Contrast
CR00791930190572814337,Promote
CR00792209741404176385,Promote
CR00792906556898279425,Promote
CR00792933013896822785,Promote
CR00796604489380397057,Promote
CR00797662219566317569,Promote
CR00799456622542848001,Promote
CR00799928313031163905,Contrast
CR00799928313031163905,Contrast
CR00799928313031163905,Contrast
CR00799928313031163905,Contrast
CR00800617706821779457,Contrast
CR00800617706821779457,Contrast
CR00800617706821779457,Contrast
CR00800617706821779457,Contrast
CR00802459113920397313,Promote
CR00803708983763271681,Attack
CR00803708983763271681,Attack
CR00803708983763271681,Attack
CR00803708983763271681,Attack
CR00803763890625183745,Promote
CR00803951426077196289,Promote
CR00807507246681423873,Promote
CR00808357718925508609,Promote
CR00809765987162259457,Attack
CR00810404184942706689,Promote
CR00811432503192584193,Promote
CR00811432503192584193,Promote
CR00811432503192584193,Promote
CR00811432503192584193,Promote
CR00811869009308811265,Promote
CR00811869009308811265,Promote
CR00811869009308811265,Promote
CR00811869009308811265,Promote
CR00816036158378082305,Promote
CR00817025787562557441,Promote
CR00823256651237687297,Promote
CR00824032906446897153,Contrast
CR00824032906446897153,Contrast
CR00824032906446897153,Contrast
CR00824032906446897153,Contrast
CR00826097239528046593,Promote
CR00828741839870754817,Contrast
CR00828741839870754817,Contrast
CR00828741839870754817,Contrast
CR00828741839870754817,Contrast
CR00830114030382219265,Promote
CR00831607442050646017,Promote
CR00831978802102927361,Promote
CR00832091227166867457,Contrast
CR00832091227166867457,Contrast
CR00832091227166867457,Contrast
CR00832091227166867457,Contrast
CR00832350162155208705,Promote
CR00832489593973506049,Promote
CR00833279043322249217,Promote
CR00833491730102747137,Promote
CR00835505760526925825,Promote
CR00835920826166411265,Contrast
CR00836609945079119873,Contrast
CR00839901058258960385,Promote
CR00841078360334401537,Promote
CR00846181468676816897,Promote
CR00849351085821788161,Promote
CR00849888953166200833,Attack
CR00849930803327533057,Contrast
CR00849930803327533057,Contrast
CR00849930803327533057,Contrast
CR00849930803327533057,Contrast
CR00851684524373835777,Promote
CR00851684524373835777,Promote
CR00851684524373835777,Promote
CR00851684524373835777,Promote
CR00857411880442920961,Contrast
CR00857411880442920961,Contrast
CR00857411880442920961,Contrast
CR00857411880442920961,Contrast
CR00859072143000862721,Promote
CR00859086436652023809,Promote
CR00859194188791545857,Promote
CR00861284360395948033,Promote
CR00861735984797057025,Promote
CR00862976233913188353,Promote
CR00867479833540558849,Contrast
CR00867902870639345665,Promote
CR00879375724719374337,Promote
CR00879987671659708417,Promote
CR00881698443033051137,Contrast
CR00881698443033051137,Contrast
CR00881698443033051137,Contrast
CR00881698443033051137,Contrast
CR00883699829073510401,Promote
CR00886092366375550977,Promote
CR00886252070439485441,Promote
